date,country_code,indicator_code,value
2018-01-01,TC,012,0.0
2017-01-01,TC,012,17.0
2016-01-01,TC,012,0.0
2015-01-01,TC,012,0.0
2014-01-01,TC,012,0.0
2020-01-01,TC,043,0.0
2019-01-01,TC,043,0.0
2018-01-01,TC,043,0.0
2017-01-01,TC,043,0.0
2019-05-01,TC,048,0.0
2019-04-01,TC,048,0.0
2019-03-01,TC,048,0.0
2019-02-01,TC,048,0.0
2019-01-01,TC,048,0.0
2018-12-01,TC,048,0.0
2018-11-01,TC,048,0.0
2018-10-01,TC,048,0.0
2018-09-01,TC,048,0.0
2018-08-01,TC,048,0.0
2018-07-01,TC,048,0.0
2018-06-01,TC,048,0.0
2018-05-01,TC,048,0.0
2018-04-01,TC,048,0.0
2018-03-01,TC,048,0.0
2018-02-01,TC,048,0.0
2018-01-01,TC,048,0.0
2017-12-01,TC,048,0.0
2017-11-01,TC,048,0.0
2017-10-01,TC,048,0.0
2017-09-01,TC,048,0.0
2017-08-01,TC,048,0.0
2017-07-01,TC,048,0.0
2017-06-01,TC,048,0.0
2017-05-01,TC,048,0.0
2017-04-01,TC,048,0.0
2017-03-01,TC,048,0.0
2017-02-01,TC,048,0.0
2017-01-01,TC,048,0.0
2016-12-01,TC,048,0.0
2016-11-01,TC,048,0.0
2016-10-01,TC,048,0.0
2016-09-01,TC,048,0.0
2016-08-01,TC,048,0.0
2016-07-01,TC,048,0.0
2016-06-01,TC,048,0.0
2016-05-01,TC,048,0.0
2016-04-01,TC,048,0.0
2016-03-01,TC,048,0.0
2016-02-01,TC,048,0.0
2016-01-01,TC,048,0.0
2015-12-01,TC,048,0.0
2015-11-01,TC,048,0.0
2015-10-01,TC,048,0.0
2015-09-01,TC,048,0.0
2015-08-01,TC,048,0.0
2015-07-01,TC,048,0.0
2015-06-01,TC,048,0.0
2015-05-01,TC,048,0.0
2015-04-01,TC,048,0.0
2015-03-01,TC,048,0.0
2015-02-01,TC,048,0.0
2015-01-01,TC,048,0.0
2014-12-01,TC,048,0.0
2014-11-01,TC,048,0.0
2014-10-01,TC,048,0.0
2014-09-01,TC,048,0.0
2014-08-01,TC,048,0.0
2014-07-01,TC,048,0.0
2014-06-01,TC,048,0.0
2014-05-01,TC,048,0.0
2014-04-01,TC,048,0.0
2014-03-01,TC,048,0.0
2014-02-01,TC,048,0.0
2014-01-01,TC,048,0.0
2013-12-01,TC,048,0.0
2013-11-01,TC,048,0.0
2013-10-01,TC,048,0.0
2013-09-01,TC,048,0.0
2013-08-01,TC,048,0.0
2013-07-01,TC,048,0.0
2013-06-01,TC,048,0.0
2013-05-01,TC,048,0.0
2013-04-01,TC,048,0.0
2013-03-01,TC,048,0.0
2013-02-01,TC,048,0.0
2013-01-01,TC,048,0.0
2012-12-01,TC,048,0.0
2012-11-01,TC,048,0.0
2012-10-01,TC,048,0.0
2012-09-01,TC,048,0.0
2012-08-01,TC,048,0.0
2012-07-01,TC,048,0.0
2012-06-01,TC,048,0.0
2012-05-01,TC,048,0.0
2012-04-01,TC,048,0.0
2012-03-01,TC,048,0.0
2012-02-01,TC,048,0.0
2012-01-01,TC,048,0.0
2011-12-01,TC,048,0.0
2011-11-01,TC,048,0.0
2011-10-01,TC,048,0.0
2011-09-01,TC,048,0.0
2011-08-01,TC,048,0.0
2011-07-01,TC,048,0.0
2011-06-01,TC,048,0.0
2011-05-01,TC,048,0.0
2011-04-01,TC,048,0.0
