date,country_code,indicator_code,value
2018-10-01,PS,001,44600.0
2018-07-01,PS,001,39000.0
2018-04-01,PS,001,-13700.0
2018-01-01,PS,001,-31100.0
2017-10-01,PS,001,16700.0
2017-07-01,PS,001,24900.0
2017-04-01,PS,001,-28900.0
2017-01-01,PS,001,-4400.0
2016-10-01,PS,001,28700.0
2016-07-01,PS,001,-5400.0
2016-04-01,PS,001,-1000.0
2016-01-01,PS,001,-10300.0
2015-10-01,PS,001,34000.0
2015-07-01,PS,001,-25100.0
2015-04-01,PS,001,17400.0
2015-01-01,PS,001,12500.0
2014-10-01,PS,001,54100.0
2014-07-01,PS,001,-53300.0
2014-04-01,PS,001,4900.0
2014-01-01,PS,001,30500.0
2013-10-01,PS,001,4700.0
2013-07-01,PS,001,-15000.0
2013-04-01,PS,001,35400.0
2013-01-01,PS,001,-14700.0
2012-10-01,PS,001,29400.0
2012-07-01,PS,001,-32900.0
2012-04-01,PS,001,41600.0
2012-01-01,PS,001,-44100.0
2011-10-01,PS,001,37500.0
2011-07-01,PS,001,-14300.0
2011-04-01,PS,001,70300.0
2011-01-01,PS,001,12100.0
2010-10-01,PS,001,57100.0
2010-07-01,PS,001,-46900.0
2010-04-01,PS,001,10600.0
2010-01-01,PS,001,739676.0
2009-10-01,PS,001,15.0
2009-07-01,PS,001,-30.0
2009-04-01,PS,001,42.0
2009-01-01,PS,001,36.0
2008-10-01,PS,001,-4.0
2008-07-01,PS,001,-1.0
2008-04-01,PS,001,-10.0
2007-07-01,PS,001,-28.9
2007-04-01,PS,001,50.6
2007-01-01,PS,001,-21.6
2006-10-01,PS,001,55.6
2006-07-01,PS,001,2.2
2006-04-01,PS,001,41.0
2006-01-01,PS,001,-10.9
2005-10-01,PS,001,-25.0
2005-07-01,PS,001,1.0
2005-04-01,PS,001,70.0
2005-01-01,PS,001,-46.0
2004-10-01,PS,001,13.0
2004-07-01,PS,001,26.0
2004-04-01,PS,001,-9.0
2004-01-01,PS,001,-14.0
2003-10-01,PS,001,-9.0
2003-07-01,PS,001,25.0
2003-04-01,PS,001,82.0
2003-01-01,PS,001,-20.0
2002-10-01,PS,001,135.0
2002-07-01,PS,001,-48.0
2002-04-01,PS,001,-50.0
2002-01-01,PS,001,-17.0
2001-10-01,PS,001,12.0
2001-07-01,PS,001,-8.0
2001-04-01,PS,001,25.0
2001-01-01,PS,001,10.0
2000-10-01,PS,001,-183.0
2000-07-01,PS,001,17.0
2000-04-01,PS,001,46.0
2000-01-01,PS,001,-15.0
1999-10-01,PS,001,10.0
1999-07-01,PS,001,13.0
1999-04-01,PS,001,29.0
1999-01-01,PS,001,-14.0
1998-10-01,PS,001,47.0
1998-07-01,PS,001,-12.0
1998-04-01,PS,001,28.0
2018-10-01,PS,002,29.1
2018-07-01,PS,002,31.7
2018-04-01,PS,002,32.4
2018-01-01,PS,002,30.2
2017-10-01,PS,002,27.7
2017-07-01,PS,002,29.6
2017-04-01,PS,002,29.2
2017-01-01,PS,002,27.2
2016-10-01,PS,002,25.9
2016-07-01,PS,002,28.6
2016-04-01,PS,002,27.1
2016-01-01,PS,002,26.8
2015-10-01,PS,002,25.9
2015-07-01,PS,002,27.5
2015-04-01,PS,002,24.9
2015-01-01,PS,002,25.6
2014-10-01,PS,002,26.5
2014-07-01,PS,002,29.1
2014-04-01,PS,002,26.3
2014-01-01,PS,002,26.2
2013-10-01,PS,002,25.2
2013-07-01,PS,002,23.6
2013-04-01,PS,002,20.5
2013-01-01,PS,002,23.8
2012-10-01,PS,002,22.8
2012-07-01,PS,002,24.1
2012-04-01,PS,002,20.8
2012-01-01,PS,002,23.7
2011-10-01,PS,002,20.9
2011-07-01,PS,002,22.2
2011-04-01,PS,002,18.6
2011-01-01,PS,002,21.7
2010-10-01,PS,002,23.3
2010-07-01,PS,002,26.6
2010-04-01,PS,002,22.9
2010-01-01,PS,002,22.2
2009-10-01,PS,002,24.8
2009-07-01,PS,002,25.8
2009-04-01,PS,002,22.2
2009-01-01,PS,002,25.4
2008-10-01,PS,002,28.8
2008-07-01,PS,002,28.0
2008-04-01,PS,002,26.3
2008-01-01,PS,002,22.7
2007-10-01,PS,002,22.2
2007-07-01,PS,002,23.2
2007-04-01,PS,002,19.2
2007-01-01,PS,002,21.6
2006-10-01,PS,002,22.0
2006-07-01,PS,002,24.2
2006-04-01,PS,002,22.9
2006-01-01,PS,002,25.3
2005-10-01,PS,002,23.8
2005-07-01,PS,002,22.7
2005-04-01,PS,002,21.2
2005-01-01,PS,002,26.3
2004-10-01,PS,002,25.6
2004-07-01,PS,002,26.7
2004-04-01,PS,002,28.6
2004-01-01,PS,002,26.2
2003-10-01,PS,002,24.3
2003-07-01,PS,002,23.6
2003-04-01,PS,002,24.3
2003-01-01,PS,002,30.3
2002-10-01,PS,002,27.4
2002-07-01,PS,002,41.5
2002-04-01,PS,002,33.6
2002-01-01,PS,002,28.9
2001-10-01,PS,002,26.2
2001-07-01,PS,002,25.4
2001-04-01,PS,002,23.7
2001-01-01,PS,002,26.9
2000-10-01,PS,002,28.3
2000-07-01,PS,002,10.0
2000-04-01,PS,002,8.8
2000-01-01,PS,002,10.9
1999-10-01,PS,002,10.0
1999-07-01,PS,002,11.6
1999-04-01,PS,002,11.8
1999-01-01,PS,002,13.9
1998-10-01,PS,002,12.8
1998-07-01,PS,002,16.2
1998-04-01,PS,002,13.6
1998-01-01,PS,002,15.5
2018-01-01,PS,004,-5827.0
2017-01-01,PS,004,-5374.0
2016-01-01,PS,004,-5246.0
2015-01-01,PS,004,-5200.0
2014-01-01,PS,004,-5037.0
2013-01-01,PS,004,-4732.0
2012-01-01,PS,004,-4429.0
2011-01-01,PS,004,-3924.0
2010-01-01,PS,004,-3897.0
2009-01-01,PS,004,-3810.0
2008-01-01,PS,004,-3480.0
2007-01-01,PS,004,-3218.0
2006-01-01,PS,004,-2947.0
2005-01-01,PS,004,-2851.0
2004-01-01,PS,004,-2541.0
2003-01-01,PS,004,-2001.0
2002-01-01,PS,004,-1756.0
2001-01-01,PS,004,-2080.0
2000-01-01,PS,004,-2010.0
1999-01-01,PS,004,-2612.0
1998-01-01,PS,004,-2151.0
1997-01-01,PS,004,-2096.0
1996-01-01,PS,004,-1952.0
1995-01-01,PS,004,-1879.0
1994-01-01,PS,004,-1631.0
2019-01-01,PS,005,5.87
2018-10-01,PS,005,6.1
2018-07-01,PS,005,5.98
2018-04-01,PS,005,5.71
2018-01-01,PS,005,5.7
2017-10-01,PS,005,5.85
2017-07-01,PS,005,5.74
2017-04-01,PS,005,5.76
2017-01-01,PS,005,5.82
2016-10-01,PS,005,5.67
2016-07-01,PS,005,6.2
2016-04-01,PS,005,5.6
2016-01-01,PS,005,7.13
2015-10-01,PS,005,7.13
2015-07-01,PS,005,6.65
2015-04-01,PS,005,6.46
2015-01-01,PS,005,6.88
2014-10-01,PS,005,6.88
2014-07-01,PS,005,6.57
2014-04-01,PS,005,6.18
2014-01-01,PS,005,6.01
2013-10-01,PS,005,7.06
2013-07-01,PS,005,7.73
2013-04-01,PS,005,7.94
2013-01-01,PS,005,7.33
2012-10-01,PS,005,7.44
2012-07-01,PS,005,6.37
2012-04-01,PS,005,6.98
2012-01-01,PS,005,7.08
2011-10-01,PS,005,7.19
2011-07-01,PS,005,6.84
2011-04-01,PS,005,6.84
2011-01-01,PS,005,6.27
2010-10-01,PS,005,6.71
2010-07-01,PS,005,6.29
2010-04-01,PS,005,6.05
2010-01-01,PS,005,6.3
2009-10-01,PS,005,5.78
2009-07-01,PS,005,5.59
2009-04-01,PS,005,6.57
2009-01-01,PS,005,6.82
2008-10-01,PS,005,7.63
2008-07-01,PS,005,6.24
2008-04-01,PS,005,7.22
2008-01-01,PS,005,7.66
2007-10-01,PS,005,7.99
2007-07-01,PS,005,8.08
2007-04-01,PS,005,7.94
2007-01-01,PS,005,7.9
2006-10-01,PS,005,7.99
2006-07-01,PS,005,7.99
2006-04-01,PS,005,7.29
2006-01-01,PS,005,7.64
2005-10-01,PS,005,7.38
2005-07-01,PS,005,7.33
2005-04-01,PS,005,7.29
2005-01-01,PS,005,7.34
2004-10-01,PS,005,7.11
2004-07-01,PS,005,8.36
2004-04-01,PS,005,6.44
2004-01-01,PS,005,7.22
2019-09-01,PS,007,5121.0
2019-08-01,PS,007,5024.0
2019-07-01,PS,007,4497.0
2019-06-01,PS,007,4596.0
2019-05-01,PS,007,4542.0
2019-04-01,PS,007,4763.0
2019-03-01,PS,007,4844.0
2019-02-01,PS,007,4914.0
2019-01-01,PS,007,4798.0
2018-12-01,PS,007,4946.0
2018-11-01,PS,007,4880.0
2018-10-01,PS,007,4699.0
2018-09-01,PS,007,4920.0
2018-08-01,PS,007,4845.0
2018-07-01,PS,007,4709.0
2018-06-01,PS,007,4789.0
2018-05-01,PS,007,4681.0
2018-04-01,PS,007,4766.0
2018-03-01,PS,007,4819.0
2018-02-01,PS,007,4969.0
2018-01-01,PS,007,4922.0
2017-12-01,PS,007,4976.0
2017-11-01,PS,007,4857.0
2017-10-01,PS,007,4782.0
2017-09-01,PS,007,4709.0
2017-08-01,PS,007,4665.0
2017-07-01,PS,007,4732.0
2017-06-01,PS,007,4617.0
2017-05-01,PS,007,4852.0
2017-04-01,PS,007,4790.0
2017-03-01,PS,007,4832.0
2017-02-01,PS,007,4764.0
2017-01-01,PS,007,4764.0
2016-12-01,PS,007,4740.0
2016-11-01,PS,007,4743.0
2016-10-01,PS,007,4833.0
2016-09-01,PS,007,4811.0
2016-08-01,PS,007,4697.0
2016-07-01,PS,007,4741.0
2016-06-01,PS,007,4738.0
2016-05-01,PS,007,4739.0
2016-04-01,PS,007,4970.0
2016-03-01,PS,007,4846.0
2016-02-01,PS,007,4803.0
2016-01-01,PS,007,4793.0
2015-12-01,PS,007,4781.0
2015-11-01,PS,007,4786.0
2015-10-01,PS,007,4794.0
2015-09-01,PS,007,4948.0
2015-08-01,PS,007,4875.0
2015-07-01,PS,007,4907.0
2015-06-01,PS,007,4891.0
2015-05-01,PS,007,4929.0
2015-04-01,PS,007,4994.0
2015-03-01,PS,007,4755.0
2015-02-01,PS,007,4796.0
2015-01-01,PS,007,4901.0
2014-12-01,PS,007,5024.0
2014-11-01,PS,007,5004.0
2014-10-01,PS,007,4991.0
2014-09-01,PS,007,5053.0
2014-08-01,PS,007,5089.0
2014-07-01,PS,007,4848.0
2014-06-01,PS,007,4895.0
2014-05-01,PS,007,4752.0
2014-04-01,PS,007,4801.0
2014-03-01,PS,007,4873.0
2014-02-01,PS,007,4769.0
2014-01-01,PS,007,4805.0
2013-12-01,PS,007,4891.0
2013-11-01,PS,007,4710.0
2013-10-01,PS,007,4671.0
2013-09-01,PS,007,4766.0
2013-08-01,PS,007,4620.0
2013-07-01,PS,007,4513.0
2013-06-01,PS,007,4507.0
2013-05-01,PS,007,4530.0
2013-04-01,PS,007,4451.0
2013-03-01,PS,007,4587.0
2013-02-01,PS,007,4367.0
2013-01-01,PS,007,4357.0
2012-12-01,PS,007,4230.0
2012-11-01,PS,007,4257.0
2012-10-01,PS,007,4192.0
2012-09-01,PS,007,4259.0
2012-08-01,PS,007,4109.0
2012-07-01,PS,007,3989.0
2012-06-01,PS,007,3949.0
2012-05-01,PS,007,4076.0
2012-04-01,PS,007,4309.0
2012-03-01,PS,007,4282.0
2012-02-01,PS,007,4193.0
2012-01-01,PS,007,4192.0
2011-12-01,PS,007,4240.0
2011-11-01,PS,007,4174.0
2011-10-01,PS,007,4365.0
2011-09-01,PS,007,4341.0
2011-08-01,PS,007,4128.0
2011-07-01,PS,007,4268.0
2011-06-01,PS,007,4256.0
2011-05-01,PS,007,4333.0
2011-04-01,PS,007,4517.0
2011-03-01,PS,007,4594.0
2011-02-01,PS,007,4700.0
2011-01-01,PS,007,4600.0
2010-12-01,PS,007,4751.0
2010-11-01,PS,007,4623.0
2010-10-01,PS,007,4649.0
2010-09-01,PS,007,4425.0
2010-08-01,PS,007,4351.0
2010-07-01,PS,007,4377.0
2010-06-01,PS,007,4151.0
2010-05-01,PS,007,4273.0
2010-04-01,PS,007,4318.0
2010-03-01,PS,007,4451.0
2010-02-01,PS,007,4523.0
2010-01-01,PS,007,4634.0
2009-12-01,PS,007,4745.0
2009-11-01,PS,007,4519.0
2009-10-01,PS,007,4653.0
2009-09-01,PS,007,4687.0
2009-08-01,PS,007,4760.0
2009-07-01,PS,007,4474.0
2009-06-01,PS,007,4434.0
2009-05-01,PS,007,4536.0
2009-04-01,PS,007,4493.0
2009-03-01,PS,007,4597.0
2009-02-01,PS,007,4518.0
2009-01-01,PS,007,4674.0
2008-12-01,PS,007,4739.0
2008-11-01,PS,007,4652.0
2008-10-01,PS,007,4725.0
2008-09-01,PS,007,4725.0
2008-08-01,PS,007,4606.0
2008-07-01,PS,007,4356.0
2008-06-01,PS,007,4395.0
2008-05-01,PS,007,4433.0
2008-04-01,PS,007,4485.0
2008-03-01,PS,007,4246.0
2008-02-01,PS,007,4107.0
2008-01-01,PS,007,4129.0
2007-12-01,PS,007,4009.0
2007-11-01,PS,007,3820.0
2007-10-01,PS,007,3730.0
2007-09-01,PS,007,3655.0
2007-08-01,PS,007,3400.0
2007-07-01,PS,007,3309.0
2007-06-01,PS,007,3231.0
2007-05-01,PS,007,3258.0
2007-04-01,PS,007,3146.0
2007-03-01,PS,007,3088.0
2007-02-01,PS,007,3052.0
2007-01-01,PS,007,3029.0
2006-12-01,PS,007,2866.0
2018-01-01,PS,012,389.0
2017-01-01,PS,012,397.0
2016-01-01,PS,012,682.0
2015-01-01,PS,012,491.0
2014-01-01,PS,012,691.0
2013-01-01,PS,012,551.0
2012-01-01,PS,012,588.0
2011-01-01,PS,012,640.0
2010-01-01,PS,012,828.0
2009-01-01,PS,012,713.0
2008-01-01,PS,012,391.0
2007-01-01,PS,012,395.0
2006-01-01,PS,012,272.0
2005-01-01,PS,012,386.0
2004-01-01,PS,012,660.0
2003-01-01,PS,012,289.0
2002-01-01,PS,012,291.0
2001-01-01,PS,012,216.0
2000-01-01,PS,012,189.0
1999-01-01,PS,012,262.0
1998-01-01,PS,012,242.0
1997-01-01,PS,012,278.0
1996-01-01,PS,012,264.0
1995-01-01,PS,012,262.0
2019-09-01,PS,017,982.0
2019-08-01,PS,017,986.0
2019-07-01,PS,017,966.0
2019-06-01,PS,017,975.0
2019-05-01,PS,017,986.0
2019-04-01,PS,017,929.0
2019-03-01,PS,017,921.0
2019-02-01,PS,017,915.0
2019-01-01,PS,017,909.0
2018-12-01,PS,017,891.0
2018-11-01,PS,017,859.0
2018-10-01,PS,017,858.0
2018-09-01,PS,017,860.0
2018-08-01,PS,017,795.0
2018-07-01,PS,017,797.0
2018-06-01,PS,017,958.0
2018-05-01,PS,017,917.0
2018-04-01,PS,017,925.0
2018-03-01,PS,017,985.0
2018-02-01,PS,017,902.0
2018-01-01,PS,017,923.0
2017-12-01,PS,017,898.0
2017-11-01,PS,017,864.0
2017-10-01,PS,017,858.0
2017-09-01,PS,017,824.0
2017-08-01,PS,017,795.0
2017-07-01,PS,017,797.0
2017-06-01,PS,017,807.0
2017-05-01,PS,017,786.0
2017-04-01,PS,017,810.0
2017-03-01,PS,017,804.0
2017-02-01,PS,017,787.0
2017-01-01,PS,017,768.0
2016-12-01,PS,017,733.0
2016-11-01,PS,017,729.0
2016-10-01,PS,017,756.0
2016-09-01,PS,017,779.0
2016-08-01,PS,017,750.0
2016-07-01,PS,017,794.0
2016-06-01,PS,017,837.0
2016-05-01,PS,017,821.0
2016-04-01,PS,017,818.0
2016-03-01,PS,017,883.0
2016-02-01,PS,017,881.0
2016-01-01,PS,017,908.0
2015-12-01,PS,017,958.0
2015-11-01,PS,017,927.0
2015-10-01,PS,017,917.0
2015-09-01,PS,017,903.0
2015-08-01,PS,017,959.0
2015-07-01,PS,017,980.0
2015-06-01,PS,017,976.0
2015-05-01,PS,017,995.0
2015-04-01,PS,017,1009.0
2015-03-01,PS,017,980.0
2015-02-01,PS,017,1015.0
2015-01-01,PS,017,1015.0
2014-12-01,PS,017,1011.0
2014-11-01,PS,017,1058.0
2014-10-01,PS,017,1043.0
2014-09-01,PS,017,1023.0
2014-08-01,PS,017,1015.0
2014-07-01,PS,017,1014.0
2014-06-01,PS,017,960.0
2014-05-01,PS,017,1011.0
2014-04-01,PS,017,978.0
2014-03-01,PS,017,985.0
2014-02-01,PS,017,998.0
2014-01-01,PS,017,988.0
2013-12-01,PS,017,971.0
2013-11-01,PS,017,955.0
2013-10-01,PS,017,916.0
2013-09-01,PS,017,920.0
2013-08-01,PS,017,898.0
2013-07-01,PS,017,899.0
2013-06-01,PS,017,923.0
2013-05-01,PS,017,888.0
2013-04-01,PS,017,886.0
2013-03-01,PS,017,933.0
2013-02-01,PS,017,926.0
2013-01-01,PS,017,935.0
2012-12-01,PS,017,919.0
2012-11-01,PS,017,886.0
2012-10-01,PS,017,894.0
2012-09-01,PS,017,923.0
2012-08-01,PS,017,907.0
2012-07-01,PS,017,889.0
2012-06-01,PS,017,879.0
2012-05-01,PS,017,904.0
2012-04-01,PS,017,904.0
2012-03-01,PS,017,887.0
2012-02-01,PS,017,868.0
2012-01-01,PS,017,831.0
2011-12-01,PS,017,811.0
2011-11-01,PS,017,804.0
2011-10-01,PS,017,832.0
2011-09-01,PS,017,717.0
2011-08-01,PS,017,793.0
2011-07-01,PS,017,815.0
2011-06-01,PS,017,823.0
2011-05-01,PS,017,873.0
2011-04-01,PS,017,870.0
2011-03-01,PS,017,917.0
2011-02-01,PS,017,895.0
2011-01-01,PS,017,934.0
2010-12-01,PS,017,936.0
2010-11-01,PS,017,879.0
2010-10-01,PS,017,831.0
2010-09-01,PS,017,836.0
2010-08-01,PS,017,862.0
2010-07-01,PS,017,894.0
2010-06-01,PS,017,877.0
2010-05-01,PS,017,970.0
2010-04-01,PS,017,966.0
2010-03-01,PS,017,1004.0
2010-02-01,PS,017,1087.0
2010-01-01,PS,017,1065.0
2009-12-01,PS,017,1027.0
2009-11-01,PS,017,1080.0
2009-10-01,PS,017,1076.0
2009-09-01,PS,017,977.0
2009-08-01,PS,017,953.0
2009-07-01,PS,017,830.0
2009-06-01,PS,017,968.0
2009-05-01,PS,017,1053.0
2009-04-01,PS,017,1133.0
2009-03-01,PS,017,1099.0
2009-02-01,PS,017,1042.0
2009-01-01,PS,017,873.0
2008-12-01,PS,017,980.0
2008-11-01,PS,017,936.0
2008-10-01,PS,017,924.0
2008-09-01,PS,017,924.0
2008-08-01,PS,017,924.0
2008-07-01,PS,017,812.0
2008-06-01,PS,017,839.0
2008-05-01,PS,017,855.0
2008-04-01,PS,017,759.0
2008-03-01,PS,017,684.0
2008-02-01,PS,017,610.0
2008-01-01,PS,017,589.0
2007-12-01,PS,017,444.0
2007-11-01,PS,017,437.0
2007-10-01,PS,017,420.0
2007-09-01,PS,017,396.0
2007-08-01,PS,017,390.0
2007-07-01,PS,017,390.0
2007-06-01,PS,017,388.0
2007-05-01,PS,017,382.0
2007-04-01,PS,017,382.0
2007-03-01,PS,017,379.0
2007-02-01,PS,017,357.0
2007-01-01,PS,017,355.0
2006-12-01,PS,017,353.0
2006-11-01,PS,017,372.0
2006-10-01,PS,017,368.0
2006-09-01,PS,017,364.0
2006-08-01,PS,017,400.0
2006-07-01,PS,017,358.0
2006-06-01,PS,017,371.0
2006-05-01,PS,017,381.0
2006-04-01,PS,017,385.0
2006-03-01,PS,017,389.0
2006-02-01,PS,017,384.0
2006-01-01,PS,017,382.0
2005-12-01,PS,017,376.0
2005-11-01,PS,017,406.0
2005-10-01,PS,017,407.0
2005-09-01,PS,017,406.0
2005-08-01,PS,017,388.0
2005-07-01,PS,017,386.0
2005-06-01,PS,017,377.0
2005-05-01,PS,017,403.0
2005-04-01,PS,017,400.0
2005-03-01,PS,017,402.0
2005-02-01,PS,017,413.0
2005-01-01,PS,017,393.0
2004-12-01,PS,017,401.0
2004-11-01,PS,017,414.0
2004-10-01,PS,017,414.0
2004-09-01,PS,017,420.0
2004-08-01,PS,017,403.0
2004-07-01,PS,017,430.0
2004-06-01,PS,017,443.0
2004-05-01,PS,017,419.0
2004-04-01,PS,017,418.0
2004-03-01,PS,017,410.0
2004-02-01,PS,017,403.0
2004-01-01,PS,017,383.0
2003-12-01,PS,017,374.0
2003-11-01,PS,017,366.0
2003-10-01,PS,017,375.0
2003-09-01,PS,017,380.0
2003-08-01,PS,017,379.0
2003-07-01,PS,017,366.0
2003-06-01,PS,017,348.0
2003-05-01,PS,017,278.0
2003-04-01,PS,017,284.0
2003-03-01,PS,017,286.0
2003-02-01,PS,017,275.0
2003-01-01,PS,017,271.0
2002-12-01,PS,017,274.0
2002-11-01,PS,017,268.0
2002-10-01,PS,017,278.0
2002-09-01,PS,017,280.0
2002-08-01,PS,017,243.0
2002-07-01,PS,017,228.0
2002-06-01,PS,017,247.0
2002-05-01,PS,017,243.0
2002-04-01,PS,017,232.0
2002-03-01,PS,017,252.0
2002-02-01,PS,017,257.0
2002-01-01,PS,017,267.0
2001-12-01,PS,017,259.0
2018-01-01,PS,019,145.0
2017-01-01,PS,019,56.0
2016-01-01,PS,019,-169.0
2015-01-01,PS,019,-317.0
2014-01-01,PS,019,-335.0
2013-01-01,PS,019,-265.0
2012-01-01,PS,019,-121.0
2011-01-01,PS,019,-494.0
2010-01-01,PS,019,97.0
2009-01-01,PS,019,34.0
2008-01-01,PS,019,58.0
2007-01-01,PS,019,44.0
2006-01-01,PS,019,35.0
2005-01-01,PS,019,18.0
2004-01-01,PS,019,40.0
2003-01-01,PS,019,34.0
2002-01-01,PS,019,28.0
2001-01-01,PS,019,21.0
2000-01-01,PS,019,37.0
1999-01-01,PS,019,149.0
1998-01-01,PS,019,96.0
1997-01-01,PS,019,86.0
1996-01-01,PS,019,63.0
1995-01-01,PS,019,67.0
1994-01-01,PS,019,40.0
2018-01-01,PS,021,263.0
2017-01-01,PS,021,203.0
2016-01-01,PS,021,296.0
2015-01-01,PS,021,105.0
2014-01-01,PS,021,160.0
2013-01-01,PS,021,190.0
2012-01-01,PS,021,63.0
2011-01-01,PS,021,239.0
2010-01-01,PS,021,180.0
2009-01-01,PS,021,300.0
2008-01-01,PS,021,52.0
2007-01-01,PS,021,20.0
2006-01-01,PS,021,19.0
2005-01-01,PS,021,36.0
2004-01-01,PS,021,21.0
2003-01-01,PS,021,13.0
2002-01-01,PS,021,9.0
2001-01-01,PS,021,19.0
2000-01-01,PS,021,62.0
1999-01-01,PS,021,190.0
1998-01-01,PS,021,209.0
1997-01-01,PS,021,163.0
1996-01-01,PS,021,177.0
1995-01-01,PS,021,123.0
2017-11-01,PS,028,108.84
2017-10-01,PS,028,108.85
2017-09-01,PS,028,108.47
2017-08-01,PS,028,107.91
2017-07-01,PS,028,107.68
2017-06-01,PS,028,107.4
2017-05-01,PS,028,107.35
2017-04-01,PS,028,107.28
2017-03-01,PS,028,107.44
2017-02-01,PS,028,106.98
2017-01-01,PS,028,107.0
2016-12-01,PS,028,106.71
2016-11-01,PS,028,106.07
2016-10-01,PS,028,105.69
2016-09-01,PS,028,105.9
2016-08-01,PS,028,105.87
2016-07-01,PS,028,106.34
2016-06-01,PS,028,106.82
2016-05-01,PS,028,106.28
2016-04-01,PS,028,105.27
2016-03-01,PS,028,104.5
2016-02-01,PS,028,102.79
2016-01-01,PS,028,103.04
2015-12-01,PS,028,103.31
2015-11-01,PS,028,103.33
2015-10-01,PS,028,103.88
2015-09-01,PS,028,103.94
2015-08-01,PS,028,103.95
2015-07-01,PS,028,104.54
2015-06-01,PS,028,104.52
2015-05-01,PS,028,104.25
2015-04-01,PS,028,104.23
2015-03-01,PS,028,104.15
2015-02-01,PS,028,104.4
2015-01-01,PS,028,104.64
2014-12-01,PS,028,105.11
2014-11-01,PS,028,105.09
2014-10-01,PS,028,105.27
2014-09-01,PS,028,105.2
2014-08-01,PS,028,104.33
2014-07-01,PS,028,104.32
2014-06-01,PS,028,104.39
2014-05-01,PS,028,104.24
2014-04-01,PS,028,104.32
2014-03-01,PS,028,104.14
2014-02-01,PS,028,103.98
2014-01-01,PS,028,103.74
2013-12-01,PS,028,103.62
2013-11-01,PS,028,103.66
2013-10-01,PS,028,103.58
2013-09-01,PS,028,103.81
2013-08-01,PS,028,103.53
2013-07-01,PS,028,103.36
2013-06-01,PS,028,103.38
2013-05-01,PS,028,103.57
2013-04-01,PS,028,103.74
2013-03-01,PS,028,103.96
2013-02-01,PS,028,103.59
2013-01-01,PS,028,103.28
2012-12-01,PS,028,103.52
2012-11-01,PS,028,103.5
2012-10-01,PS,028,103.39
2012-09-01,PS,028,103.87
2012-08-01,PS,028,103.63
2012-07-01,PS,028,103.47
2012-06-01,PS,028,103.65
2012-05-01,PS,028,103.99
2012-04-01,PS,028,103.77
2012-03-01,PS,028,103.82
2012-02-01,PS,028,103.8
2012-01-01,PS,028,103.63
2011-12-01,PS,028,103.28
2011-11-01,PS,028,103.39
2011-10-01,PS,028,103.71
2011-09-01,PS,028,103.59
2011-08-01,PS,028,103.0
2011-07-01,PS,028,103.11
2011-06-01,PS,028,102.99
2011-05-01,PS,028,102.17
2011-04-01,PS,028,101.87
2011-03-01,PS,028,101.89
2011-02-01,PS,028,101.94
2011-01-01,PS,028,101.98
2010-12-01,PS,028,101.1
2010-11-01,PS,028,100.38
2010-10-01,PS,028,100.34
2010-09-01,PS,028,100.17
2010-08-01,PS,028,100.23
2010-07-01,PS,028,99.97
2010-06-01,PS,028,99.91
2010-05-01,PS,028,100.62
2010-04-01,PS,028,101.06
2010-03-01,PS,028,98.94
2010-02-01,PS,028,98.77
2010-01-01,PS,028,98.51
2009-12-01,PS,028,98.33
2009-11-01,PS,028,98.15
2009-10-01,PS,028,98.42
2009-09-01,PS,028,98.53
2009-08-01,PS,028,98.64
2009-07-01,PS,028,99.85
2009-06-01,PS,028,99.1
2009-05-01,PS,028,98.72
2009-04-01,PS,028,97.9
2009-03-01,PS,028,97.67
2009-02-01,PS,028,98.46
2009-01-01,PS,028,98.07
2008-12-01,PS,028,98.39
2008-11-01,PS,028,98.82
2008-10-01,PS,028,100.54
2008-09-01,PS,028,104.32
2008-08-01,PS,028,106.36
2008-07-01,PS,028,107.96
2008-06-01,PS,028,107.22
2008-05-01,PS,028,105.71
2008-04-01,PS,028,102.68
2008-03-01,PS,028,99.67
2008-02-01,PS,028,96.57
2008-01-01,PS,028,93.6
2019-09-01,PS,033,8814.0
2019-08-01,PS,033,8688.0
2019-07-01,PS,033,9204.0
2019-06-01,PS,033,8965.0
2019-05-01,PS,033,8929.0
2019-04-01,PS,033,8624.0
2019-03-01,PS,033,8532.0
2019-02-01,PS,033,8426.0
2019-01-01,PS,033,8418.0
2018-12-01,PS,033,8274.0
2018-11-01,PS,033,8181.0
2018-10-01,PS,033,8229.0
2018-09-01,PS,033,8119.0
2018-08-01,PS,033,8244.0
2018-07-01,PS,033,8081.0
2018-06-01,PS,033,8024.0
2018-05-01,PS,033,8063.0
2018-04-01,PS,033,7979.0
2018-03-01,PS,033,7884.0
2018-02-01,PS,033,7744.0
2018-01-01,PS,033,7789.0
2017-12-01,PS,033,7666.0
2017-11-01,PS,033,7607.0
2017-10-01,PS,033,7594.0
2017-09-01,PS,033,7423.0
2017-08-01,PS,033,7391.0
2017-07-01,PS,033,7233.0
2017-06-01,PS,033,7186.0
2017-05-01,PS,033,6936.0
2017-04-01,PS,033,6976.0
2017-03-01,PS,033,6828.0
2017-02-01,PS,033,6743.0
2017-01-01,PS,033,6658.0
2016-12-01,PS,033,6581.0
2016-11-01,PS,033,6428.0
2016-10-01,PS,033,6337.0
2016-09-01,PS,033,6488.0
2016-08-01,PS,033,6378.0
2016-07-01,PS,033,6185.0
2016-06-01,PS,033,6155.0
2016-05-01,PS,033,6057.0
